# cProfile cumulative time, top 50
         13226302 function calls (13134336 primitive calls) in 8.181 seconds

   Ordered by: cumulative time
   List reduced from 9431 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.185    8.185 /home/ubuntu/repos/angr/tests/benchmarks/profile_python_bench.py:80(_run_solve)
   2081/1    0.004    0.000    8.185    8.185 <frozen importlib._bootstrap_external>:989(exec_module)
   4555/1    0.002    0.000    8.185    8.185 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   2359/1    0.032    0.000    8.185    8.185 {built-in method builtins.exec}
        1    0.000    0.000    8.185    8.185 /home/ubuntu/repos/angr-examples/examples/mma_howtouse/solve.py:1(<module>)
        1    0.000    0.000    7.104    7.104 /home/ubuntu/repos/angr-examples/examples/mma_howtouse/solve.py:16(main)
19361/19271    0.005    0.000    7.044    0.000 {method 'join' of 'str' objects}
       46    0.000    0.000    7.038    0.153 /home/ubuntu/repos/angr-examples/examples/mma_howtouse/solve.py:30(<genexpr>)
       45    0.000    0.000    7.038    0.156 /home/ubuntu/repos/angr-examples/examples/mma_howtouse/solve.py:27(<lambda>)
       45    0.001    0.000    7.038    0.156 /home/ubuntu/repos/angr/angr/callable.py:88(__call__)
       45    0.001    0.000    6.935    0.154 /home/ubuntu/repos/angr/angr/callable.py:98(perform_call)
       45    0.000    0.000    5.300    0.118 /home/ubuntu/repos/angr/angr/factory.py:164(call_state)
       45    0.001    0.000    5.300    0.118 /home/ubuntu/repos/angr/angr/simos/simos.py:249(state_call)
       45    0.008    0.000    5.237    0.116 /home/ubuntu/repos/angr/angr/simos/windows.py:188(state_blank)
2430/2340    0.002    0.000    4.474    0.002 /home/ubuntu/repos/angr/angr/sim_state.py:460(_set_plugin_state)
      405    0.000    0.000    4.463    0.011 /home/ubuntu/repos/angr/angr/misc/plugins.py:72(__getattr__)
      405    0.000    0.000    4.463    0.011 /home/ubuntu/repos/angr/angr/sim_state.py:436(get_plugin)
      405    0.001    0.000    4.463    0.011 /home/ubuntu/repos/angr/angr/misc/plugins.py:148(get_plugin)
      135    0.000    0.000    4.462    0.033 /home/ubuntu/repos/angr/angr/storage/memory_mixins/address_concretization_mixin.py:366(map_region)
      135    0.058    0.000    4.462    0.033 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:347(map_region)
