# cProfile cumulative time, top 50
         13387528 function calls (13291286 primitive calls) in 9.654 seconds

   Ordered by: cumulative time
   List reduced from 9517 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    9.657    9.657 /home/ubuntu/repos/angr/tests/benchmarks/profile_python_bench.py:80(_run_solve)
   2082/2    0.003    0.000    9.656    4.828 <frozen importlib._bootstrap_external>:989(exec_module)
   4557/3    0.002    0.000    9.656    3.219 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   2360/2    0.032    0.000    9.656    4.828 {built-in method builtins.exec}
        1    0.000    0.000    8.630    8.630 /home/ubuntu/repos/angr-examples/examples/mma_howtouse/solve.py:1(<module>)
        1    0.000    0.000    8.630    8.630 /home/ubuntu/repos/angr-examples/examples/mma_howtouse/solve.py:16(main)
19369/19271    0.005    0.000    8.569    0.000 {method 'join' of 'str' objects}
       46    0.000    0.000    8.563    0.186 /home/ubuntu/repos/angr-examples/examples/mma_howtouse/solve.py:30(<genexpr>)
       45    0.000    0.000    8.563    0.190 /home/ubuntu/repos/angr-examples/examples/mma_howtouse/solve.py:27(<lambda>)
       45    0.001    0.000    8.563    0.190 /home/ubuntu/repos/angr/angr/callable.py:88(__call__)
       45    0.001    0.000    6.922    0.154 /home/ubuntu/repos/angr/angr/callable.py:98(perform_call)
       45    0.000    0.000    5.405    0.120 /home/ubuntu/repos/angr/angr/factory.py:164(call_state)
       45    0.001    0.000    5.405    0.120 /home/ubuntu/repos/angr/angr/simos/simos.py:249(state_call)
       45    0.008    0.000    5.334    0.119 /home/ubuntu/repos/angr/angr/simos/windows.py:188(state_blank)
      495    0.000    0.000    4.562    0.009 /home/ubuntu/repos/angr/angr/misc/plugins.py:72(__getattr__)
      495    0.000    0.000    4.562    0.009 /home/ubuntu/repos/angr/angr/sim_state.py:436(get_plugin)
      495    0.001    0.000    4.562    0.009 /home/ubuntu/repos/angr/angr/misc/plugins.py:148(get_plugin)
 1080/990    0.001    0.000    4.559    0.005 /home/ubuntu/repos/angr/angr/sim_state.py:460(_set_plugin_state)
      135    0.000    0.000    4.559    0.034 /home/ubuntu/repos/angr/angr/storage/memory_mixins/address_concretization_mixin.py:366(map_region)
      135    0.058    0.000    4.558    0.034 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:347(map_region)
      450    0.001    0.000    4.555    0.010 /home/ubuntu/repos/angr/angr/sim_state.py:455(_init_plugin)
       90    0.000    0.000    4.549    0.051 /home/ubuntu/repos/angr/angr/state_plugins/heap/heap_base.py:119(init_state)
    92565    0.151    0.000    4.500    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:374(_map_page)
   103367    0.081    0.000    3.741    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/privileged_mixin.py:23(_get_page)
   103367    0.085    0.000    3.656    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/paged_memory_mixin.py:66(_get_page)
    93330    0.064    0.000    2.832    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/stack_allocation_mixin.py:72(_initialize_page)
    93330    0.105    0.000    2.768    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/page_backer_mixins.py:187(_initialize_page)
