# cProfile cumulative time, top 50
         4554685 function calls (4497291 primitive calls) in 2.687 seconds

   Ordered by: cumulative time
   List reduced from 10123 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.690    2.690 /home/ubuntu/repos/angr/tests/benchmarks/profile_python_bench.py:80(_run_solve)
   2081/1    0.004    0.000    2.690    2.690 <frozen importlib._bootstrap_external>:989(exec_module)
   4555/1    0.002    0.000    2.690    2.690 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   2359/1    0.033    0.000    2.690    2.690 {built-in method builtins.exec}
        1    0.000    0.000    2.689    2.689 /home/ubuntu/repos/angr-examples/examples/sym-write/solve.py:1(<module>)
        1    0.000    0.000    1.584    1.584 /home/ubuntu/repos/angr-examples/examples/sym-write/solve.py:15(main)
        1    0.000    0.000    1.274    1.274 /home/ubuntu/repos/angr/angr/sim_manager.py:280(explore)
        1    0.000    0.000    1.274    1.274 /home/ubuntu/repos/angr/angr/sim_manager.py:348(run)
   176/34    0.000    0.000    1.273    0.037 /home/ubuntu/repos/angr/angr/misc/hookset.py:93(__call__)
       34    0.000    0.000    1.273    0.037 /home/ubuntu/repos/angr/angr/exploration_techniques/explorer.py:109(step)
       34    0.000    0.000    1.273    0.037 /home/ubuntu/repos/angr/angr/exploration_techniques/suggestions.py:46(step)
       34    0.000    0.000    1.273    0.037 /home/ubuntu/repos/angr/angr/sim_manager.py:380(step)
       36    0.000    0.000    1.267    0.035 /home/ubuntu/repos/angr/angr/sim_manager.py:508(step_state)
       36    0.000    0.000    1.267    0.035 /home/ubuntu/repos/angr/angr/sim_manager.py:558(successors)
       36    0.000    0.000    1.266    0.035 /home/ubuntu/repos/angr/angr/factory.py:98(successors)
       36    0.000    0.000    1.266    0.035 /home/ubuntu/repos/angr/angr/engines/vex/light/slicing.py:17(process)
       36    0.003    0.000    1.266    0.035 /home/ubuntu/repos/angr/angr/engines/successors.py:517(process)
   2227/1    0.009    0.000    1.105    1.105 <frozen importlib._bootstrap>:1349(_find_and_load)
   2202/1    0.007    0.000    1.105    1.105 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
   2126/1    0.006    0.000    1.105    1.105 <frozen importlib._bootstrap>:911(_load_unlocked)
        1    0.000    0.000    1.105    1.105 /home/ubuntu/repos/angr/angr/__init__.py:1(<module>)
    245/5    0.001    0.000    1.098    0.220 {built-in method builtins.__import__}
       36    0.000    0.000    1.095    0.030 /home/ubuntu/repos/angr/angr/engines/failure.py:15(process_successors)
       36    0.000    0.000    1.095    0.030 /home/ubuntu/repos/angr/angr/engines/syscall.py:21(process_successors)
       36    0.000    0.000    1.095    0.030 /home/ubuntu/repos/angr/angr/engines/hook.py:77(process_successors)
  1542/39    0.002    0.000    1.093    0.028 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      221    0.000    0.000    0.988    0.004 /home/ubuntu/repos/angr/angr/state_plugins/sim_action_object.py:55(ast_stripper)
      221    0.000    0.000    0.986    0.004 /home/ubuntu/repos/angr/angr/state_plugins/solver.py:97(wrapped_f)
       32    0.000    0.000    0.912    0.029 /home/ubuntu/repos/angr/angr/engines/unicorn.py:398(process_successors)
       32    0.000    0.000    0.912    0.028 /home/ubuntu/repos/angr/angr/engines/soot/engine.py:69(process_successors)
       32    0.000    0.000    0.910    0.028 /home/ubuntu/repos/angr/angr/engines/ail/engine_successors.py:13(process_successors)
       32    0.000    0.000    0.910    0.028 /home/ubuntu/repos/angr/angr/engines/vex/heavy/heavy.py:85(process_successors)
       32    0.000    0.000    0.902    0.028 /home/ubuntu/repos/angr/angr/engines/vex/heavy/super_fastpath.py:16(handle_vex_block)
       32    0.000    0.000    0.902    0.028 /home/ubuntu/repos/angr/angr/engines/vex/light/slicing.py:23(handle_vex_block)
       32    0.000    0.000    0.902    0.028 /home/ubuntu/repos/angr/angr/engines/vex/heavy/actions.py:23(handle_vex_block)
       32    0.000    0.000    0.902    0.028 /home/ubuntu/repos/angr/angr/engines/vex/heavy/inspect.py:49(handle_vex_block)
       32    0.000    0.000    0.902    0.028 /home/ubuntu/repos/angr/angr/engines/vex/light/light.py:538(handle_vex_block)
     1102    0.001    0.000    0.873    0.001 /home/ubuntu/repos/angr/angr/engines/vex/light/slicing.py:29(_handle_vex_stmt)
     1102    0.001    0.000    0.872    0.001 /home/ubuntu/repos/angr/angr/engines/vex/heavy/inspect.py:44(_handle_vex_stmt)
1391/1102    0.001    0.000    0.870    0.001 /home/ubuntu/repos/angr/angr/engines/vex/light/resilience.py:39(inner)
     1102    0.001    0.000    0.869    0.001 /home/ubuntu/repos/angr/angr/engines/vex/heavy/heavy.py:237(_handle_vex_stmt)
     1102    0.000    0.000    0.869    0.001 /home/ubuntu/repos/angr/angr/engines/vex/light/light.py:49(_handle_vex_stmt)
       16    0.000    0.000    0.624    0.039 /home/ubuntu/repos/angr/angr/storage/memory_mixins/address_concretization_mixin.py:148(_apply_concretization_strategies)
       16    0.000    0.000    0.623    0.039 /home/ubuntu/repos/angr/angr/concretization_strategies/base.py:54(concretize)
       16    0.000    0.000    0.623    0.039 /home/ubuntu/repos/angr/angr/concretization_strategies/range.py:15(_concretize)
 1518/952    0.002    0.000    0.584    0.001 /home/ubuntu/repos/angr/angr/engines/vex/heavy/inspect.py:32(_handle_vex_expr)
 1518/952    0.001    0.000    0.583    0.001 /home/ubuntu/repos/angr/angr/engines/vex/light/light.py:53(_handle_vex_expr)
      494    0.000    0.000    0.579    0.001 /home/ubuntu/repos/angr/angr/engines/vex/light/light.py:201(_handle_vex_stmt_WrTmp)
      494    0.000    0.000    0.576    0.001 /home/ubuntu/repos/angr/angr/engines/vex/light/light.py:198(_analyze_vex_stmt_WrTmp_data)
  727/725    0.001    0.000    0.559    0.001 /home/ubuntu/repos/angr/angr/storage/memory_mixins/unwrapper_mixin.py:17(load)




# cProfile tottime (self), top 50
         4554685 function calls (4497291 primitive calls) in 2.687 seconds

   Ordered by: internal time
   List reduced from 10123 to 50 due to restriction <50>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      629    0.215    0.000    0.217    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/z3/z3core.py:4234(Z3_solver_check_assumptions)
     2081    0.136    0.000    0.136    0.000 {built-in method marshal.loads}
       26    0.110    0.004    0.110    0.004 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/z3/z3core.py:4087(Z3_solver_get_param_descrs)
      100    0.075    0.001    0.076    0.001 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/z3/z3core.py:4124(Z3_solver_assert)
11046/10858    0.061    0.000    0.233    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/ast/base.py:133(__new__)
4583/4561    0.049    0.000    0.138    0.000 {built-in method builtins.__build_class__}
     3344    0.044    0.000    0.057    0.000 <frozen importlib._bootstrap>:162(__enter__)
   365188    0.042    0.000    0.054    0.000 {built-in method builtins.isinstance}
      501    0.040    0.000    0.228    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/algorithm/replace.py:14(replace_dict)
   106407    0.034    0.000    0.087    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/refcount_mixin.py:39(acquire_shared)
   2359/1    0.033    0.000    2.690    2.690 {built-in method builtins.exec}
    98036    0.031    0.000    0.078    0.000 /home/ubuntu/repos/angr/angr/storage/memory_mixins/paged_memory/pages/refcount_mixin.py:47(release_shared)
      436    0.031    0.000    0.031    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/z3/z3core.py:4254(Z3_solver_get_model)
   206183    0.030    0.000    0.056    0.000 /home/ubuntu/repos/angr/angr/misc/picklable_lock.py:17(__enter__)
     7369    0.029    0.000    0.029    0.000 {built-in method posix.stat}
     1127    0.029    0.000    0.029    0.000 /home/ubuntu/repos/angr/.venv/lib/python3.12/site-packages/claripy/backends/backend_z3.py:143(int_to_str_unlimited)
